食品名,P,F,C
ピーマン類　青ピーマン　果実　生,0.9 ,0.2 ,3.0
ピーマン類　青ピーマン　果実　油いため,0.9 ,4.3 ,3.3 
ピーマン類　赤ピーマン　果実　生,1.0,0.2 ,5.8 
ピーマン類　赤ピーマン　果実　油いため,1.0,4.3 ,6.4 
ピーマン類　オレンジピーマン　果実　生,0.9 ,0.3 ,2.8 
ピーマン類　オレンジピーマン　果実　油いため,1.1 ,5.1 ,7.8 
ピーマン類　黄ピーマン　果実　生,0.8 ,0.2 ,5.7 
ピーマン類　黄ピーマン　果実　油いため,0.8 ,4.3 ,6.1 
ピーマン類　トマピー　果実　生,1.0,0.2 ,6.1 
ひのな　根・茎葉　生,1.0,0.0 ,1.9 
ひのな　根・茎葉　甘酢漬,1.4 ,0.5 ,12.9 
ひろしまな　葉　生,1.5 ,0.2 ,2.3 
ひろしまな　塩漬,1.2 ,0.2 ,1.2 
ふき類　ふき　葉柄　生,0.3 ,0,1.7 
ふき類　ふき　葉柄　ゆで,0.3 ,0,0.8 
ふき類　ふきのとう　花序　生,2.5 ,0.1 ,3.6 
ふき類　ふきのとう　花序　ゆで,2.5 ,0.1 ,2.8 
ふじまめ　若ざや　生,2.5 ,0.1 ,3.0
ふだんそう　葉　生,2.0,0.1 ,0.4 
ふだんそう　葉　ゆで,2.8 ,0.1 ,1.6 
ブロッコリー　花序　生,5.4 ,0.6 ,3.1 
ブロッコリー　花序　ゆで,3.9 ,0.4 ,2.3 
ブロッコリー　花序　電子レンジ調理,5.7 ,0.7 ,8.4 
ブロッコリー　花序　焼き,9.9 ,1.2 ,11.4 
ブロッコリー　花序　油いため,6.9 ,6.3 ,8.2 
ブロッコリー　芽ばえ　生,1.9 ,0.6 ,1.6 
へちま　果実　生,0.8 ,0.1 ,3.1 
へちま　果実　ゆで,1.6 ,0.1 ,2.7 
ほうれんそう　葉　通年平均　生,2.2 ,0.4 ,0.1 
ほうれんそう　葉　通年平均　ゆで,2.6 ,0.5 ,1.2 
ほうれんそう　葉　通年平均　油いため,3.8 ,8.1 ,1.1 
ほうれんそう　葉　夏採り　生,2.2 ,0.4 ,0.1 
ほうれんそう　葉　夏採り　ゆで,2.6 ,0.5 ,1.2 
ほうれんそう　葉　冬採り　生,2.2 ,0.4 ,0.1 
ほうれんそう　葉　冬採り　ゆで,2.6 ,0.5 ,1.2 
ほうれんそう　葉　冷凍,2.9 ,0.3 ,0.3 
ほうれんそう　葉　冷凍　ゆで,3.7 ,0.5 ,0
ほうれんそう　葉　冷凍　油いため,4.0,4.5 ,1.9 
ホースラディシュ　根茎　生,3.1 ,0.3 ,10.2 
まこも　茎　生,1.3 ,0.2 ,2.6 
みずかけな　葉　生,2.9 ,0.1 ,2.4 
みずかけな　塩漬,4.9 ,0.0 ,2.4 
みずな　葉　生,2.2 ,0.1 ,2.1 
みずな　葉　ゆで,2.0,0.1 ,1.4 
みずな　塩漬,2.0,0.1 ,2.7 
みつば類　切りみつば　葉　生,1.0,0.1 ,1.6 
みつば類　切りみつば　葉　ゆで,0.9 ,0.1 ,0.7 
みつば類　根みつば　葉　生,1.9 ,0.1 ,1.3 
みつば類　根みつば　葉　ゆで,2.3 ,0.1 ,0.8 
みつば類　糸みつば　葉　生,0.9 ,0.1 ,0.7 
みつば類　糸みつば　葉　ゆで,1.1 ,0,1.1 
みぶな　葉　生,1.1 ,0.3 ,1.4 
みょうが類　みょうが　花穂　生,0.9 ,0.1 ,0.7 
みょうが類　みょうがたけ　茎葉　生,0.4 ,0.1 ,0.5 
むかご　肉芽　生,2.9 ,0.2 ,17.5 
めキャベツ　結球葉　生,5.7 ,0.1 ,6.2 
めキャベツ　結球葉　ゆで,5.3 ,0.1 ,6.3 
めたで　芽ばえ　生,3.0,0.5 ,2.5 
もやし類　アルファルファもやし　生,1.6 ,0.1 ,0.6 
もやし類　だいずもやし　生,3.7 ,1.5 ,1.1 
もやし類　だいずもやし　ゆで,2.9 ,1.6 ,1.0
もやし類　ブラックマッペもやし　生,2.2 ,0.0 ,2.1 
もやし類　ブラックマッペもやし　ゆで,1.3 ,0.0 ,1.6 
もやし類　ブラックマッペもやし　油いため,2.3 ,0.9 ,6.7 
もやし類　りょくとうもやし　生,1.7 ,0.1 ,1.8 
もやし類　りょくとうもやし　ゆで,1.6 ,0,1.3 
モロヘイヤ　茎葉　生,4.8 ,0.5 ,1.8 
モロヘイヤ　茎葉　ゆで,3.0,0.4 ,1.4 
やぶまめ　生,15.5 ,6.5 ,19.7 
やまごぼう　みそ漬,4.1 ,0.1 ,8.6 
ゆりね　りん茎　生,3.8 ,0.1 ,24.3 
ゆりね　りん茎　ゆで,3.4 ,0.1 ,24.0
ようさい　茎葉　生,2.2 ,0.1 ,0.5 
ようさい　茎葉　ゆで,2.2 ,0.1 ,1.2 
よめな　葉　生,3.4 ,0.2 ,2.9 
よもぎ　葉　生,5.2 ,0.3 ,1.9 
よもぎ　葉　ゆで,4.8 ,0.1 ,1.3 
らっかせい　未熟豆　生,12.0,24.2 ,9.5 
らっかせい　未熟豆　ゆで,11.9 ,23.5 ,9.2 
らっきょう類　らっきょう　りん茎　生,1.4 ,0.2 ,9.2 
らっきょう類　らっきょう　甘酢漬,0.4 ,0.3 ,26.5 
らっきょう類　エシャレット　りん茎　生,2.3 ,0.2 ,7.3 
リーキ　りん茎葉　生,1.6 ,0.1 ,4.9 
リーキ　りん茎葉　ゆで,1.3 ,0.1 ,4.6 
ルッコラ　葉　生,1.9 ,0.4 ,0.8 
ルバーブ　葉柄　生,0.7 ,0.1 ,3.5 
ルバーブ　葉柄　ゆで,0.5 ,0.1 ,1.7 
レタス類　レタス　土耕栽培　結球葉　生,0.6 ,0.1 ,1.9 
レタス類　レタス　水耕栽培　結球葉　生,0.8 ,0.2 ,2.1 
レタス類　サラダな　葉　生,1.0,0.2 ,1.1 
レタス類　リーフレタス　葉　生,1.4 ,0.1 ,1.8 
レタス類　サニーレタス　葉　生,1.2 ,0.2 ,1.7 
レタス類　サンチュ　葉　生,1.2 ,0.4 ,1.0
レタス類　コスレタス　葉　生,1.2 ,0.2 ,2.0
れんこん　根茎　生,1.9 ,0.1 ,14.1 
れんこん　根茎　ゆで,1.3 ,0.1 ,14.3 
れんこん　甘酢れんこん,0.6 ,0.2 ,14.2 
わけぎ　葉　生,1.6 ,0,5.1 
わけぎ　葉　ゆで,1.9 ,0,4.4 
わさび　根茎　生,5.6 ,0.2 ,14.0
わさび　わさび漬,7.1 ,0.5 ,25.3 
わらび　生わらび　生,2.4 ,0.1 ,1.0
わらび　生わらび　ゆで,1.5 ,0.1 ,0.4 
わらび　干しわらび　乾,20.0,0.7 ,8.9 
その他　ミックスベジタブル　冷凍,3.0,0.7 ,9.2 
その他　ミックスベジタブル　冷凍　ゆで,3.1 ,0.8 ,8.1 
その他　ミックスベジタブル　冷凍　油いため,3.3 ,4.9 ,9.8 
その他　野菜ミックスジュース　通常タイプ,0.8 ,0.1 ,3.7 
その他　野菜ミックスジュース　濃縮タイプ,1.0,0.3 ,6.8 
あけび　果肉　生,0.5 ,0.1 ,20.9 
あけび　果皮　生,0.3 ,0.3 ,5.5 
アサイー　冷凍　無糖,0.9 ,5.3 ,0
アセロラ　酸味種　生,0.7 ,0.1 ,7.2 
アセロラ　甘味種　生,0.7 ,0.1 ,7.1 
アセロラ　果実飲料　10%果汁入り飲料,0.1 ,0,10.3 
アテモヤ　生,1.8 ,0.4 ,16.9 
アボカド　生,2.1 ,17.5 ,4.5 
あんず　生,1.0,0.3 ,6.9 
あんず　乾,9.2 ,0.4 ,60.0
あんず　缶詰,0.5 ,0.4 ,18.3 
あんず　ジャム　高糖度,0.3 ,0.1 ,64.3 
あんず　ジャム　低糖度,0.4 ,0.1 ,49.4 
いちご　生,0.9 ,0.1 ,6.6 
いちご　ジャム　高糖度,0.4 ,0.1 ,62.1 
いちご　ジャム　低糖度,0.5 ,0.1 ,47.5 
いちご　乾,0.5 ,0.2 ,80.1 
いちじく　生,0.6 ,0.1 ,12.5 
いちじく　乾,3.0,1.1 ,65.9 
いちじく　缶詰,0.5 ,0.1 ,18.4 
うめ　生,0.7 ,0.5 ,5.8 
うめ　梅漬　塩漬,0.7 ,0.4 ,4.4 
うめ　梅漬　調味漬,1.5 ,0.5 ,7.2 
うめ　梅干し　塩漬,0.9 ,0.7 ,1.1 
うめ　梅干し　調味漬,1.5 ,0.6 ,18.8 
うめ　梅びしお,0.7 ,0.5 ,46.9 
うめ　果実飲料　20%果汁入り飲料,0.0 ,0.0 ,12.2 
オリーブ　塩漬　グリーンオリーブ,1.0,15.0,1.9 
オリーブ　塩漬　ブラックオリーブ,0.8 ,12.3 ,1.5 
オリーブ　塩漬　スタッフドオリーブ,0.8 ,14.3 ,0.7 
かき　甘がき　生,0.4 ,0.2 ,14.5 
かき　渋抜きがき　生,0.5 ,0.1 ,14.3 
かき　干しがき,1.5 ,1.7 ,58.7 
かりん　生,0.4 ,0.1 ,9.4 
かんきつ類　いよかん　砂じょう　生,0.9 ,0.1 ,11.1 
かんきつ類　うんしゅうみかん　じょうのう　早生　生,0.5 ,0.1 ,11.5 
かんきつ類　うんしゅうみかん　じょうのう　普通　生,0.7 ,0.1 ,11.3 
かんきつ類　うんしゅうみかん　砂じょう　早生　生,0.5 ,0.1 ,11.2 
かんきつ類　うんしゅうみかん　砂じょう　普通　生,0.7 ,0.1 ,11.4 
かんきつ類　うんしゅうみかん　果実飲料　ストレートジュース,0.5 ,0.1 ,10.9 
かんきつ類　うんしゅうみかん　果実飲料　濃縮還元ジュース,0.5 ,0.1 ,10.2 
かんきつ類　うんしゅうみかん　果実飲料　果粒入りジュース,0.2 ,0.0 ,13.1 
かんきつ類　うんしゅうみかん　果実飲料　50%果汁入り飲料,0.2 ,0.0 ,14.7 
かんきつ類　うんしゅうみかん　果実飲料　20%果汁入り飲料,0.1 ,0.0 ,12.4 
かんきつ類　うんしゅうみかん　缶詰　果肉,0.5 ,0.1 ,14.9 
かんきつ類　うんしゅうみかん　缶詰　液汁,0.3 ,0.1 ,15.4 
かんきつ類　オレンジ　ネーブル　砂じょう　生,0.9 ,0.1 ,10.3 
かんきつ類　オレンジ　バレンシア　米国産　砂じょう　生,1.0,0.1 ,9.4 
かんきつ類　オレンジ　バレンシア　果実飲料　ストレートジュース,0.8 ,0.0 ,9.9 
かんきつ類　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,0.7 ,0.1 ,11.0
かんきつ類　オレンジ　バレンシア　果実飲料　50%果汁入り飲料,0.4 ,0.2 ,11.0
かんきつ類　オレンジ　バレンシア　果実飲料　30%果汁入り飲料,0.2 ,0.0 ,10.1 
かんきつ類　オレンジ　バレンシア　マーマレード　高糖度,0.2 ,0.1 ,62.6 
かんきつ類　オレンジ　バレンシア　マーマレード　低糖度,0.3 ,0.1 ,46.5 
かんきつ類　オレンジ　福原オレンジ　砂じょう　生,1.0,0.1 ,9.0
かんきつ類　オロブランコ　砂じょう　生,0.8 ,0.1 ,9.5 
かんきつ類　かぼす　果汁　生,0.4 ,0.1 ,8.4 
かんきつ類　かわちばんかん　砂じょう　生,0.7 ,0.2 ,8.5 
かんきつ類　きよみ　砂じょう　生,0.8 ,0.2 ,10.1 
かんきつ類　きんかん　全果　生,0.5 ,0.7 ,13.3 
かんきつ類　グレープフルーツ　白肉種　砂じょう　生,0.9 ,0.1 ,8.3 
かんきつ類　グレープフルーツ　紅肉種　砂じょう　生,0.9 ,0.1 ,8.1 
かんきつ類　グレープフルーツ　果実飲料　ストレートジュース,0.6 ,0.1 ,10.2 
かんきつ類　グレープフルーツ　果実飲料　濃縮還元ジュース,0.7 ,0.1 ,8.6 
かんきつ類　グレープフルーツ　果実飲料　50%果汁入り飲料,0.3 ,0.0 ,11.0
かんきつ類　グレープフルーツ　果実飲料　20%果汁入り飲料,0.1 ,0.0 ,9.7 
かんきつ類　グレープフルーツ　缶詰,0.5 ,0.0 ,16.5 
かんきつ類　さんぼうかん　砂じょう　生,0.7 ,0.3 ,10.3 
かんきつ類　シークヮーサー　果汁　生,0.8 ,0.1 ,7.6 
かんきつ類　シークヮーサー　果実飲料　10%果汁入り飲料,0.1 ,0.0 ,11.8 
かんきつ類　しらぬひ　砂じょう　生,0.8 ,0.2 ,12.6 
かんきつ類　すだち　果皮　生,1.8 ,0.3 ,6.3 
かんきつ類　すだち　果汁　生,0.5 ,0.1 ,6.5 
かんきつ類　せとか　砂じょう　生,0.8 ,0.2 ,11.3 
かんきつ類　セミノール　砂じょう　生,1.1 ,0.1 ,11.6 
かんきつ類　だいだい　果汁　生,0.3 ,0.2 ,8.0
かんきつ類　なつみかん　砂じょう　生,0.9 ,0.1 ,9.2 
かんきつ類　なつみかん　缶詰,0.5 ,0.1 ,18.9 
かんきつ類　はっさく　砂じょう　生,0.8 ,0.1 ,10.3 
かんきつ類　はるみ　砂じょう　生,0.9 ,0.2 ,11.7 
かんきつ類　ひゅうがなつ　じょうのう及びアルベド　生,0.6 ,0.1 ,9.9 
かんきつ類　ひゅうがなつ　砂じょう　生,0.6 ,0.1 ,7.9 
かんきつ類　ぶんたん　砂じょう　生,0.7 ,0.1 ,9.2 
かんきつ類　ぶんたん　ざぼん漬,0.2 ,0.1 ,82.9 
かんきつ類　ぽんかん　砂じょう　生,0.9 ,0.1 ,9.3 
かんきつ類　ゆず　果皮　生,1.2 ,0.5 ,8.0
かんきつ類　ゆず　果汁　生,0.5 ,0.1 ,6.7 
かんきつ類　ライム　果汁　生,0.4 ,0.1 ,9.2 
かんきつ類　レモン　全果　生,0.9 ,0.7 ,5.0
かんきつ類　レモン　果汁　生,0.4 ,0.2 ,2.1 
キウイフルーツ　緑肉種　生,1.0,0.2 ,9.1 
キウイフルーツ　黄肉種　生,1.1 ,0.2 ,13.6 
きはだ　実　乾,7.3 ,9.8 ,65.1 
キワノ　生,1.5 ,0.9 ,5.4 
グァバ　赤肉種　生,0.6 ,0.1 ,5.1 
グァバ　白肉種　生,0.6 ,0.1 ,5.1 
グァバ　果実飲料　20%果汁入り飲料　ネクター,0.1 ,0.1 ,11.5 
グァバ　果実飲料　10%果汁入り飲料,0.1 ,0.1 ,12.1 
くこ　実　乾,12.3 ,4.1 ,81.0
ぐみ　生,1.3 ,0.2 ,15.2 
ココナッツ　ココナッツウォーター,0.2 ,0.1 ,5.0
ココナッツ　ココナッツミルク,1.9 ,16.0,3.8 
ココナッツ　ナタデココ,0,0.0 ,19.7 
さくらんぼ　国産　生,1.0,0.2 ,14.2 
さくらんぼ　米国産　生,1.2 ,0.1 ,13.8 
さくらんぼ　米国産　缶詰,0.6 ,0.1 ,15.8 
ざくろ　生,0.2 ,0.0 ,15.5 
すいか　赤肉種　生,0.6 ,0.1 ,9.5 
すいか　黄肉種　生,0.6 ,0.1 ,9.2 
すぐり類　カシス　冷凍,1.6 ,1.6 ,6.4 
すぐり類　グーズベリー　生,1.0,0.1 ,10.7 
スターフルーツ　生,0.7 ,0.1 ,5.9 
すもも類　にほんすもも　生,0.6 ,1.0,8.0
すもも類　プルーン　生,0.7 ,0.1 ,10.2 
すもも類　プルーン　乾,2.4 ,0.2 ,44.0
チェリモヤ　生,1.3 ,0.3 ,18.2 
ドラゴンフルーツ　生,1.4 ,0.3 ,9.9 
ドリアン　生,2.3 ,3.3 ,25.5 
なし類　日本なし　生,0.3 ,0.1 ,9.0
なし類　日本なし　缶詰,0.1 ,0.1 ,18.5 
なし類　中国なし　生,0.2 ,0.1 ,11.4 
なし類　西洋なし　生,0.3 ,0.1 ,9.6 
なし類　西洋なし　缶詰,0.2 ,0.1 ,17.2 
なつめ　乾,3.9 ,2.0,58.9 
なつめやし　乾,2.2 ,0.2 ,65.4 
パインアップル　生,0.6 ,0.1 ,11.9 
パインアップル　焼き,0.9 ,0.2 ,17.5 
パインアップル　果実飲料　ストレートジュース,0.3 ,0.1 ,11.0
パインアップル　果実飲料　濃縮還元ジュース,0.1 ,0.1 ,11.1 
パインアップル　果実飲料　50%果汁入り飲料,0.3 ,0.1 ,12.1 
パインアップル　果実飲料　10%果汁入り飲料,0.0 ,0.0 ,12.4 
パインアップル　缶詰,0.4 ,0.1 ,20.0
パインアップル　砂糖漬,0.5 ,0.2 ,85.7 
ハスカップ　生,0.7 ,0.6 ,10.7 
パッションフルーツ　果汁　生,0.8 ,0.4 ,13.4 
バナナ　生,1.1 ,0.2 ,21.1 
バナナ　乾,3.8 ,0.4 ,70.5 
パパイア　完熟　生,0.5 ,0.2 ,7.6 
パパイア　未熟　生,1.3 ,0.1 ,7.9 
びわ　生,0.3 ,0.1 ,9.1 
びわ　缶詰,0.3 ,0.1 ,19.3 
ぶどう　皮なし　生,0.4 ,0.1 ,14.8 
ぶどう　皮つき　生,0.6 ,0.2 ,15.7 
ぶどう　干しぶどう,2.7 ,0.2 ,75.9 
ぶどう　果実飲料　ストレートジュース,0.3 ,0.2 ,14.4 
ぶどう　果実飲料　濃縮還元ジュース,0.3 ,0.3 ,12.1 
ぶどう　果実飲料　70%果汁入り飲料,0.2 ,0.0 ,12.8 
ぶどう　果実飲料　10%果汁入り飲料,0.0 ,0.0 ,13.1 
ぶどう　缶詰,0.4 ,0.1 ,20.4 
ぶどう　ジャム,0.5 ,0.1 ,46.3 
ブルーベリー　生,0.5 ,0.1 ,9.8 
ブルーベリー　ジャム,0.7 ,0.3 ,39.9 
ブルーベリー　乾,2.7 ,1.9 ,56.4 
ホワイトサポテ　生,1.5 ,0.1 ,16.1 
まくわうり　黄肉種　生,0.8 ,0.1 ,7.0
まくわうり　白肉種　生,0.8 ,0.1 ,7.0
マルメロ　生,0.3 ,0.1 ,10.0
マンゴー　生,0.6 ,0.1 ,15.7 
マンゴー　ドライマンゴー,3.1 ,0.7 ,76.6 
マンゴスチン　生,0.6 ,0.2 ,16.1 
メロン　温室メロン　生,1.1 ,0.1 ,10.3 
メロン　露地メロン　緑肉種　生,1.0,0.1 ,10.3 
メロン　露地メロン　赤肉種　生,1.0,0.1 ,10.3 
もも類　もも　白肉種　生,0.6 ,0.1 ,8.4 
もも類　もも　黄肉種　生,0.5 ,0.2 ,8.6 
もも類　もも　果実飲料　30%果汁入り飲料　ネクター,0.2 ,0.1 ,11.3 
もも類　もも　缶詰　白肉種　果肉,0.5 ,0.1 ,19.4 
もも類　もも　缶詰　黄肉種　果肉,0.5 ,0.1 ,19.3 
もも類　もも　缶詰　液汁,0.3 ,0.1 ,19.5 
もも類　ネクタリン　生,0.7 ,0.3 ,8.7 
やまもも　生,0.5 ,0.2 ,10.2 
ライチー　生,1.0,0.1 ,15.9 
ラズベリー　生,1.1 ,0.1 ,5.4 
りゅうがん　乾,5.1 ,0.4 ,72.1 
りんご　皮なし　生,0.1 ,0.2 ,13.0
りんご　皮つき　生,0.2 ,0.3 ,13.5 
りんご　皮つき　焼き,0.2 ,0.4 ,18.8 
りんご　果実飲料　ストレートジュース,0.2 ,0.1 ,11.4 
りんご　果実飲料　濃縮還元ジュース,0.1 ,0.2 ,11.5 
りんご　果実飲料　50%果汁入り飲料,0.1 ,0.0 ,11.5 
りんご　果実飲料　30%果汁入り飲料,0.0 ,0.0 ,11.4 
りんご　缶詰,0.3 ,0.1 ,19.9 
りんご　ジャム,0.2 ,0.1 ,52.0
えのきたけ　生,2.7 ,0.2 ,4.8 
えのきたけ　ゆで,2.8 ,0.1 ,4.4 
えのきたけ　油いため,3.0,3.9 ,5.5 
えのきたけ　味付け瓶詰,3.6 ,0.3 ,14.2 
きくらげ類　あらげきくらげ　生,0.7 ,0.1 ,0.1 
きくらげ類　あらげきくらげ　乾,6.9 ,0.7 ,0.2 
きくらげ類　あらげきくらげ　ゆで,1.2 ,0.1 ,0.3 
きくらげ類　あらげきくらげ　油いため,2.3 ,5.2 ,0.2 
きくらげ類　きくらげ　乾,7.9 ,2.1 ,17.1 
きくらげ類　きくらげ　ゆで,0.6 ,0.2 ,0.3 
きくらげ類　しろきくらげ　乾,4.9 ,0.7 ,7.2 
きくらげ類　しろきくらげ　ゆで,0.4 ,0.0 ,0.4 
くろあわびたけ　生,3.7 ,0.4 ,2.2 
しいたけ　生しいたけ　菌床栽培　生,3.1 ,0.3 ,1.3 
しいたけ　生しいたけ　菌床栽培　ゆで,2.5 ,0.4 ,0.7 
しいたけ　生しいたけ　菌床栽培　油いため,3.3 ,4.1 ,2.5 
しいたけ　生しいたけ　菌床栽培　天ぷら,3.4 ,14.0,12.8 
しいたけ　生しいたけ　原木栽培　生,3.1 ,0.4 ,3.2 
しいたけ　生しいたけ　原木栽培　ゆで,2.4 ,0.4 ,2.1 
しいたけ　生しいたけ　原木栽培　油いため,3.8 ,5.4 ,3.9 
しいたけ　乾しいたけ　乾,21.2 ,2.8 ,22.1 
しいたけ　乾しいたけ　ゆで,3.1 ,0.3 ,4.1 
しいたけ　乾しいたけ　甘煮,3.3 ,0.4 ,21.1 
しめじ類　はたけしめじ　生,2.6 ,0.3 ,1.7 
しめじ類　はたけしめじ　ゆで,2.6 ,0.3 ,0.5 
しめじ類　ぶなしめじ　生,2.7 ,0.5 ,2.0
しめじ類　ぶなしめじ　ゆで,2.7 ,0.2 ,1.6 
しめじ類　ぶなしめじ　油いため,3.0,5.5 ,1.6 
しめじ類　ぶなしめじ　素揚げ,3.9 ,14.3 ,4.7 
しめじ類　ぶなしめじ　天ぷら,3.4 ,17.1 ,19.4 
しめじ類　ほんしめじ　生,2.5 ,0.4 ,0.9 
しめじ類　ほんしめじ　ゆで,2.8 ,0.6 ,0.8 
たもぎたけ　生,3.6 ,0.3 ,1.6 
なめこ　株採り　生,1.8 ,0.2 ,2.8 
なめこ　株採り　ゆで,1.6 ,0.1 ,3.0
なめこ　カットなめこ　生,1.1 ,0.1 ,2.0
なめこ　水煮缶詰,1.0,0.1 ,1.2 
ぬめりすぎたけ　生,2.3 ,0.4 ,2.7 
ひらたけ類　うすひらたけ　生,6.1 ,0.2 ,3.5 
ひらたけ類　エリンギ　生,2.8 ,0.4 ,3.7 
ひらたけ類　エリンギ　ゆで,3.2 ,0.5 ,3.0
ひらたけ類　エリンギ　焼き,4.2 ,0.5 ,5.5 
ひらたけ類　エリンギ　油いため,3.2 ,3.7 ,5.3 
ひらたけ類　ひらたけ　生,3.3 ,0.3 ,4.8 
ひらたけ類　ひらたけ　ゆで,3.4 ,0.2 ,4.1 
まいたけ　生,2.0,0.5 ,1.8 
まいたけ　ゆで,1.6 ,0.5 ,3.0
まいたけ　油いため,2.6 ,4.4 ,3.3 
まいたけ　乾,21.9 ,3.9 ,29.5 
マッシュルーム　生,2.9 ,0.3 ,0.2 
マッシュルーム　ゆで,3.8 ,0.2 ,0.3 
マッシュルーム　油いため,3.6 ,4.5 ,0.9 
マッシュルーム　水煮缶詰,3.4 ,0.2 ,0
まつたけ　生,2.0,0.6 ,3.4 
やなぎまつたけ　生,2.4 ,0.1 ,1.1 
あおさ　素干し,22.1 ,0.6 ,18.0
あおのり　素干し,29.4 ,5.2 ,15.7 
あまのり　ほしのり,39.4 ,3.7 ,17.7 
あまのり　焼きのり,41.4 ,3.7 ,19.2 
あまのり　味付けのり,40.0,3.5 ,26.0
あらめ　蒸し干し,12.4 ,0.7 ,10.9 
いわのり　素干し,34.8 ,0.7 ,11.3 
うみぶどう　生,0.5 ,0.1 ,0.5 
えごのり　素干し,9.0,0.1 ,8.9 
えごのり　おきうと,0.3 ,0.1 ,0
おごのり　塩蔵　塩抜き,1.3 ,0.1 ,1.3 
かわのり　素干し,38.1 ,1.6 ,0.6 
こんぶ類　えながおにこんぶ　素干し,11.0,1.0,33.3 
こんぶ類　がごめこんぶ　素干し,7.9 ,0.5 ,29.6 
こんぶ類　ながこんぶ　素干し,8.3 ,1.5 ,23.7 
こんぶ類　ほそめこんぶ　素干し,6.9 ,1.7 ,31.8 
こんぶ類　まこんぶ　素干し　乾,5.8 ,1.3 ,9.7 
こんぶ類　まこんぶ　素干し　水煮,1.1 ,0.3 ,0.3 
こんぶ類　みついしこんぶ　素干し,7.7 ,1.9 ,31.9 
こんぶ類　りしりこんぶ　素干し,8.0,2.0,27.2 
こんぶ類　刻み昆布,5.4 ,0.5 ,0
こんぶ類　削り昆布,6.5 ,0.9 ,23.6 
こんぶ類　塩昆布,16.9 ,0.4 ,23.9 
こんぶ類　つくだ煮,6.0,1.0,25.5 
すいぜんじのり　素干し　水戻し,1.5 ,0.0 ,0
てんぐさ　素干し,16.1 ,1.0,6.5 
てんぐさ　ところてん,0.2 ,0,0.1 
てんぐさ　角寒天,2.4 ,0.2 ,1.4 
てんぐさ　寒天,0.0 ,0.0 ,0
てんぐさ　粉寒天,0.2 ,0.3 ,2.9 
とさかのり　赤とさか　塩蔵　塩抜き,1.5 ,0.1 ,1.1 
とさかのり　青とさか　塩蔵　塩抜き,0.9 ,0.2 ,0.8 
ひじき　ほしひじき　ステンレス釜　乾,9.2 ,3.2 ,6.8 
ひじき　ほしひじき　ステンレス釜　ゆで,0.7 ,0.3 ,0.3 
ひじき　ほしひじき　ステンレス釜　油いため,0.8 ,4.7 ,0.4 
ひじき　ほしひじき　鉄釜　乾,9.2 ,3.2 ,4.2 
ひじき　ほしひじき　鉄釜　ゆで,0.7 ,0.3 ,0
ひじき　ほしひじき　鉄釜　油いため,0.8 ,4.7 ,0
ひとえぐさ　素干し,16.6 ,1.0,2.1 
ひとえぐさ　つくだ煮,14.4 ,1.3 ,20.7 
ふのり　素干し,13.8 ,1.0,15.1 
まつも　素干し,27.9 ,4.9 ,14.3 
むかでのり　塩蔵　塩抜き,0.6 ,0.1 ,0.0 
もずく類　おきなわもずく　塩蔵　塩抜き,0.3 ,0.2 ,0.1 
もずく類　もずく　塩蔵　塩抜き,0.2 ,0.1 ,0.1 
わかめ　原藻　生,1.9 ,0.2 ,2.6 
わかめ　乾燥わかめ　素干し,13.6 ,1.6 ,12.7 
わかめ　乾燥わかめ　素干し　水戻し,2.0,0.3 ,0.7 
わかめ　乾燥わかめ　板わかめ,16.7 ,1.2 ,20.3 
わかめ　乾燥わかめ　灰干し　水戻し,1.1 ,0.1 ,0.3 
わかめ　カットわかめ　乾,17.9 ,4.0,9.1 
わかめ　カットわかめ　水煮　沸騰水で短時間加熱したもの,1.3 ,0.8 ,0.8 
わかめ　カットわかめ　水煮の汁,-,-,0.1 
わかめ　湯通し塩蔵わかめ　塩抜き　生,1.5 ,0.3 ,0.6 
わかめ　湯通し塩蔵わかめ　塩抜き　ゆで,0.6 ,0.1 ,0.5 
わかめ　くきわかめ　湯通し塩蔵　塩抜き,1.1 ,0.3 ,0.8 
わかめ　めかぶわかめ　生,0.9 ,0.6 ,0.1 
＜魚類＞　あいなめ　生,19.1 ,3.4 ,3.9 
＜魚類＞　あこうだい　生,16.8 ,2.3 ,2.8 
＜魚類＞　あじ類　まあじ　皮つき　生,19.7 ,4.5 ,3.3 
＜魚類＞　あじ類　まあじ　皮なし　生,19.7 ,4.1 ,3.7 
＜魚類＞　あじ類　まあじ　皮つき　水煮,22.4 ,5.9 ,5.1 
＜魚類＞　あじ類　まあじ　皮つき　焼き,25.9 ,6.4 ,6.3 
＜魚類＞　あじ類　まあじ　皮つき　フライ,20.1 ,18.2 ,12.7 
＜魚類＞　あじ類　まあじ　開き干し　生,20.2 ,8.8 ,5.6 
＜魚類＞　あじ類　まあじ　開き干し　焼き,24.6 ,12.3 ,7.3 
＜魚類＞　あじ類　まあじ　小型　骨付き　生,17.8 ,5.0,5.0
＜魚類＞　あじ類　まあじ　小型　骨付き　から揚げ,24.0,18.6 ,9.8 
＜魚類＞　あじ類　まるあじ　生,22.1 ,5.6 ,4.8 
＜魚類＞　あじ類　まるあじ　焼き,28.7 ,7.7 ,6.0
＜魚類＞　あじ類　にしまあじ　生,19.6 ,9.1 ,3.2 
