食品名,P,F,C
こめ　［水稲めし］　半つき米,2.7 ,0.6 ,36.1 
こめ　［水稲めし］　七分つき米,2.6 ,0.5 ,36.7 
こめ　［水稲めし］　精白米　インディカ米,3.8 ,0.4 ,41.9 
こめ　［水稲めし］　精白米　うるち米,2.5 ,0.3 ,36.1 
こめ　［水稲めし］　精白米　もち米,3.5 ,0.5 ,43.9 
こめ　［水稲めし］　はいが精米,2.7 ,0.6 ,35.6 
こめ　［水稲めし］　発芽玄米,3.0,1.4 ,33.7 
こめ　［水稲めし］　赤米,3.8 ,1.3 ,29.3 
こめ　［水稲めし］　黒米,3.6 ,1.4 ,28.9 
こめ　［水稲軟めし］　精白米,1.8 ,0.3 ,25.2 
こめ　［水稲全かゆ］　玄米,1.2 ,0.4 ,14.8 
こめ　［水稲全かゆ］　半つき米,1.1 ,0.3 ,15.4 
こめ　［水稲全かゆ］　七分つき米,1.1 ,0.2 ,15.6 
こめ　［水稲全かゆ］　精白米,1.1 ,0.1 ,15.8 
こめ　［水稲五分かゆ］　玄米,0.6 ,0.2 ,7.4 
こめ　［水稲五分かゆ］　半つき米,0.6 ,0.1 ,7.7 
こめ　［水稲五分かゆ］　七分つき米,0.6 ,0.1 ,7.7 
こめ　［水稲五分かゆ］　精白米,0.5 ,0.1 ,7.9 
こめ　［水稲おもゆ］　玄米,0.4 ,0.1 ,4.3 
こめ　［水稲おもゆ］　半つき米,0.3 ,0.1 ,4.6 
こめ　［水稲おもゆ］　七分つき米,0.3 ,0.1 ,4.7 
こめ　［水稲おもゆ］　精白米,0.3 ,0,4.8 
こめ　［陸稲穀粒］　玄米,10.1 ,2.7 ,69.7 
こめ　［陸稲穀粒］　半つき米,9.6 ,1.8 ,73.1 
こめ　［陸稲穀粒］　七分つき米,9.5 ,1.5 ,74.1 
こめ　［陸稲穀粒］　精白米,9.3 ,0.9 ,75.6 
こめ　［陸稲めし］　玄米,4.1 ,1.0,33.6 
こめ　［陸稲めし］　半つき米,3.8 ,0.6 ,35.2 
こめ　［陸稲めし］　七分つき米,3.6 ,0.5 ,35.9 
こめ　［陸稲めし］　精白米,3.5 ,0.3 ,36.5 
こめ　［うるち米製品］　アルファ化米　一般用,6.0,1.0,84.7 
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,6.0,1.0,84.7 
こめ　［うるち米製品］　おにぎり,2.7 ,0.3 ,39.3 
こめ　［うるち米製品］　焼きおにぎり,3.1 ,0.3 ,39.5 
こめ　［うるち米製品］　きりたんぽ,3.2 ,0.4 ,46.2 
こめ　［うるち米製品］　上新粉,6.2 ,0.9 ,78.8 
こめ　［うるち米製品］　玄米粉,7.1 ,2.9 ,82.6 
こめ　［うるち米製品］　米粉,6.0,0.7 ,82.2 
こめ　［うるち米製品］　米粉パン　食パン,10.7 ,5.1 ,40.9 
こめ　［うるち米製品］　米粉パン　ロールパン,8.8 ,6.7 ,41.5 
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,3.4 ,3.1 ,51.3 
こめ　［うるち米製品］　米粉めん,3.6 ,0.7 ,57.9 
こめ　［うるち米製品］　ビーフン,7.0,1.6 ,80.3 
こめ　［うるち米製品］　ライスペーパー,0.5 ,0.3 ,83.7 
こめ　［うるち米製品］　米こうじ,5.8 ,1.7 ,59.3 
こめ　［もち米製品］　もち,4.0,0.6 ,50.8 
こめ　［もち米製品］　赤飯,4.3 ,0.6 ,41.1 
こめ　［もち米製品］　あくまき,2.3 ,1.8 ,26.1 
こめ　［もち米製品］　白玉粉,6.3 ,1.0,80.4 
こめ　［もち米製品］　道明寺粉,7.1 ,0.7 ,80.9 
こめ　［その他］　米ぬか,13.4 ,19.6 ,32.9 
そば　そば粉　全層粉,12.0,3.1 ,67.3 
そば　そば粉　内層粉,6.0,1.6 ,76.8 
そば　そば粉　中層粉,10.2 ,2.7 ,68.9 
そば　そば粉　表層粉,15.0,3.6 ,60.5 
そば　そば米,9.6 ,2.5 ,71.8 
そば　そば　生,9.8 ,1.9 ,50.3 
そば　そば　ゆで,4.8 ,1.0,24.1 
そば　そば　半生そば,10.5 ,3.8 ,56.5 
そば　干しそば　乾,14.0,2.3 ,65.6 
そば　干しそば　ゆで,4.8 ,0.7 ,21.6 
とうもろこし　玄穀　黄色種,8.6 ,5.0,63.3 
とうもろこし　玄穀　白色種,8.6 ,5.0,63.3 
とうもろこし　コーンミール　黄色種,8.3 ,4.0,66.1 
とうもろこし　コーンミール　白色種,8.3 ,4.0,66.1 
とうもろこし　コーングリッツ　黄色種,8.2 ,1.0,74.7 
とうもろこし　コーングリッツ　白色種,8.2 ,1.0,74.7 
とうもろこし　コーンフラワー　黄色種,6.6 ,2.8 ,75.6 
とうもろこし　コーンフラワー　白色種,6.6 ,2.8 ,75.6 
とうもろこし　ジャイアントコーン　フライ　味付け,5.7 ,11.8 ,67.8 
とうもろこし　ポップコーン,10.2 ,22.8 ,52.8 
とうもろこし　コーンフレーク,7.8 ,1.7 ,82.7 
はとむぎ　精白粒,13.3 ,1.3 ,72.4 
ひえ　精白粒,9.4 ,3.3 ,70.2 
もろこし　玄穀,10.3 ,4.7 ,62.7 
もろこし　精白粒,9.5 ,2.6 ,71.5 
ライむぎ　全粒粉,12.7 ,2.7 ,60.0
ライむぎ　ライ麦粉,8.5 ,1.6 ,64.0
＜いも類＞　アメリカほどいも　塊根　生,5.9 ,0.6 ,26.8 
＜いも類＞　アメリカほどいも　塊根　ゆで,6.0,0.8 ,28.5 
＜いも類＞　きくいも　塊茎　生,1.9 ,0.4 ,12.2 
＜いも類＞　きくいも　塊茎　水煮,1.6 ,0.5 ,8.7 
＜いも類＞　こんにゃく　精粉,3.0,0.1 ,5.4 
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,0.1 ,0.0 ,0.1 
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,0.1 ,0.1 ,0.3 
＜いも類＞　こんにゃく　赤こんにゃく,0.1 ,0.0 ,0.2 
＜いも類＞　こんにゃく　凍みこんにゃく　乾,3.3 ,1.4 ,5.8 
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,0.7 ,0.3 ,1.3 
＜いも類＞　こんにゃく　しらたき,0.2 ,0.0 ,0.1 
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　生,0.9 ,0.5 ,30.5 
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　蒸し,0.9 ,0.2 ,29.7 
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　天ぷら,1.4 ,6.8 ,35.6 
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　生,1.2 ,0.2 ,29.7 
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　蒸し,1.2 ,0.2 ,30.0
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　焼き,1.4 ,0.2 ,35.3 
＜いも類＞　さつまいも類　さつまいも　蒸し切干,3.1 ,0.6 ,65.8 
＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　生,1.2 ,0.3 ,29.2 
＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　蒸し,1.2 ,0.3 ,28.3 
＜いも類＞　さといも類　さといも　球茎　生,1.5 ,0.1 ,10.5 
＜いも類＞　さといも類　さといも　球茎　水煮,1.5 ,0.1 ,11.3 
＜いも類＞　さといも類　さといも　球茎　冷凍,2.2 ,0.1 ,13.9 
＜いも類＞　さといも類　セレベス　球茎　生,2.2 ,0.3 ,17.3 
＜いも類＞　さといも類　セレベス　球茎　水煮,2.1 ,0.3 ,16.8 
＜いも類＞　さといも類　たけのこいも　球茎　生,1.7 ,0.4 ,20.6 
＜いも類＞　さといも類　たけのこいも　球茎　水煮,1.6 ,0.4 ,19.3 
＜いも類＞　さといも類　みずいも　球茎　生,0.7 ,0.4 ,25.3 
＜いも類＞　さといも類　みずいも　球茎　水煮,0.7 ,0.4 ,23.5 
＜いも類＞　さといも類　やつがしら　球茎　生,3.0,0.7 ,18.6 
＜いも類＞　さといも類　やつがしら　球茎　水煮,2.7 ,0.6 ,17.9 
＜いも類＞　じゃがいも　塊茎　皮つき　生,1.8 ,0.1 ,6.2 
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,2.1 ,0.2 ,15.5 
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　生を揚げたもの,2.7 ,5.6 ,21.4 
＜いも類＞　じゃがいも　塊茎　皮なし　生,1.8 ,0.1 ,8.5 
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,1.7 ,0.1 ,13.9 
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,1.9 ,0.3 ,14.7 
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,1.9 ,0.1 ,15.5 
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　生を揚げたもの,2.7 ,5.9 ,22.6 
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　市販冷凍食品を揚げたもの,2.9 ,10.6 ,30.2 
＜いも類＞　じゃがいも　乾燥マッシュポテト,6.6 ,0.6 ,76.1 
＜いも類＞　ヤーコン　塊根　生,0.6 ,0.3 ,11.3 
＜いも類＞　ヤーコン　塊根　水煮,0.6 ,0.3 ,8.7 
＜いも類＞　やまのいも類　ながいも　いちょういも　塊根　生,4.5 ,0.5 ,22.2 
＜いも類＞　やまのいも類　ながいも　ながいも　塊根　生,2.2 ,0.3 ,13.8 
＜いも類＞　やまのいも類　ながいも　ながいも　塊根　水煮,2.0,0.3 ,11.9 
＜いも類＞　やまのいも類　ながいも　やまといも　塊根　生,4.5 ,0.2 ,26.3 
＜いも類＞　やまのいも類　じねんじょ　塊根　生,2.8 ,0.7 ,25.7 
＜いも類＞　やまのいも類　だいじょ　塊根　生,2.6 ,0.1 ,23.1 
＜でん粉・でん粉製品＞　でん粉類　おおうばゆりでん粉,0.1 ,0.1 ,82.8 
＜でん粉・でん粉製品＞　でん粉類　キャッサバでん粉,0.1 ,0.2 ,85.3 
＜でん粉・でん粉製品＞　でん粉類　くずでん粉,0.2 ,0.2 ,85.6 
＜でん粉・でん粉製品＞　でん粉類　米でん粉,0.2 ,0.7 ,89.3 
＜でん粉・でん粉製品＞　でん粉類　小麦でん粉,0.2 ,0.5 ,86.0
＜でん粉・でん粉製品＞　でん粉類　サゴでん粉,0.1 ,0.2 ,86.1 
＜でん粉・でん粉製品＞　でん粉類　さつまいもでん粉,0.1 ,0.2 ,82.0
＜でん粉・でん粉製品＞　でん粉類　じゃがいもでん粉,0.1 ,0.1 ,81.6 
＜でん粉・でん粉製品＞　でん粉類　とうもろこしでん粉,0.1 ,0.7 ,86.3 
＜でん粉・でん粉製品＞　でん粉製品　くずきり　乾,0.2 ,0.2 ,86.8 
